# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
Unknown error.,Άγνωστο σφάλμα.
Sending request to server... Please wait.,Αποστολή αίτησης στον διακομιστή... Παρακαλώ περιμένετε.
Error sending request to server. Please retry.,Σφάλμα κατά την αποστολή του αιτήματος στον διακομιστή. Παρακαλώ προσπαθήστε ξανά.
For tenant,Για ενοικιαστή
- Default tenant -,- Προεπιλεγμένος ενοικιαστής -
Crypt key used when settings were exported,Κρυπτοκλειδί που χρησιμοποιήθηκε όταν εξήχθησαν οι ρυθμίσεις
Crypted Settings,Κρυπτογραφημένες Ρυθμίσεις
Copy and paste the JSON string from the file obtained at plugin settings export,Αντιγράψτε και επικολλήστε τη συμβολοσειρά JSON από το αρχείο που λήφθηκε στις ρυθμίσεις του προσθέτου εξαγωγής
Validate Settings,Επικύρωση Ρυθμίσεων
Source Platform,Πλατφόρμα Πηγής
Source URL,Διεύθυνση URL πηγής
Seems linke provided import JSON doesn't contain any settings to be imported.,Φαίνεται ότι το παρεχόμενο JSON εισαγωγής δεν περιέχει καμία ρύθμιση προς εισαγωγή.
Try again,Προσπαθήστε ξανά
Pick the settings you want to import from te table below.,Επιλέξτε τις ρυθμίσεις που θέλετε να εισαγάγετε από τον παρακάτω πίνακα.
"If you don't select any plugin, system will import all plugin settings presented in this table.","Εάν δεν επιλέξετε κανένα πρόσθετο, το σύστημα θα εισάγει όλες τις ρυθμίσεις προσθέτων που παρουσιάζονται σε αυτόν τον πίνακα."
In import file,Στο αρχείο εισαγωγής
In current platform,Στην τρέχουσα πλατφόρμα
Plugin (in file),Πρόσθετο (σε αρχείο)
Only models with settings,Μόνο μοντέλα με ρυθμίσεις
Import Settings,Ρυθμίσεις Εισαγωγής
Plugin settings imported with success.,Οι ρυθμίσεις του προσθέτου εισήχθησαν με επιτυχία.
There were errors while importing plugin settings. Please try again.,Παρουσιάστηκαν σφάλματα κατά την εισαγωγή των ρυθμίσεων του προσθέτου. Παρακαλώ προσπαθήστε ξανά.
Import information is also available in maintenance.log file.,Οι πληροφορίες εισαγωγής είναι επίσης διαθέσιμες στο αρχείο maintenance.log.
Finish,Ολοκλήρωση
This plugin is not a multi-tenant plugin! Settings will be same for all tenants.,Αυτό το πρόσθετο δεν είναι ένα πολυ-ενοικιαστικό πρόσθετο! Οι ρυθμίσεις θα είναι ίδιες για όλους τους ενοικιαστές.
Select tenant,Επιλογή ενοικιαστή
- Default settings -,- Προεπιλεγμένες ρυθμίσεις -
Select plugin or a model,Επιλέξτε το πρόσθετο ή ένα μοντέλο
Database version,Έκδοση βάσης δεδομένων
Script version,Έκδοση σεναρίου
Please upgrade the plugin,Παρακαλώ αναβαθμίστε το πρόσθετο
"For selected tenant, current plugin status is %s.","Για τον επιλεγμένο ενοικιαστή, η τρέχουσα κατάσταση του πρόσθετου είναι %s."
Manage plugins for this tenant,Διαχείριση προσθέτων για αυτό το ενοίκιο
Selected module doesn't have any settings.,Το επιλεγμένο μοντούλο δεν έχει καμία ρύθμιση.
Save settings,Αποθήκευση ρυθμίσεων
Are you sure you want to cancel changes in plugin settings?,Είστε σίγουροι ότι θέλετε να ακυρώσετε τις αλλαγές στις ρυθμίσεις του προσθέτου;
[Non-editable],[Μη επεξεργάσιμο]
Use custom tenant value,Χρησιμοποιήστε προσαρμοσμένη τιμή ενοικιαστή
Main settings value,Κύρια τιμή ρυθμίσεων
Empty string value,Κενή τιμή συμβολοσειράς
Default value,Προεπιλεγμένη τιμή
Render settings field call failed.,Αποτυχία κλήσης πεδίου ρυθμίσεων απεικόνισης.
Not a key-value array...,Δεν είναι ένας πίνακας κλειδιού-τιμής...
Template file,Αρχείο προτύπου
From paths,Από διαδρομές
Values array should be provided,Πρέπει να παρέχεται πίνακας τιμών
This plugin is not a multi-tenant plugin! Registry data will be same for all tenants.,Αυτό το πρόσθετο δεν είναι ένα πολυ-ενοικιαστικό πρόσθετο! Τα δεδομένα του μητρώου θα είναι τα ίδια για όλους τους ενοικιαστές.
Are you sure you want to cancel changes in plugin registry data?,Είστε σίγουροι ότι θέλετε να ακυρώσετε τις αλλαγές στα δεδομένα του μητρώου προσθέτων;
Delete record data,Διαγραφή δεδομένων εγγραφής
Add registry value,Προσθήκη τιμής καταχώρισης
Save registry data,Αποθήκευση δεδομένων μητρώου
Are you sure you want to remove this registry data?,Είστε σίγουροι ότι θέλετε να αφαιρέσετε αυτά τα δεδομένα από το μητρώο;
Please provide registry keys for all lines.,Παρακαλώ παρέχετε τα κλειδιά καταχώρισης για όλες τις γραμμές.
There are duplicates in registry keys.,Υπάρχουν διπλότυπα στα κλειδιά του μητρώου.
Are you sure you want to save plugin registry data?,Είστε σίγουροι ότι θέλετε να αποθηκεύσετε τα δεδομένα του μητρώου προσθέτων;
Error saving registry data.,Σφάλμα κατά την αποθήκευση δεδομένων μητρώου.
User friendly title describing this agent job.,Χρήσιμος τίτλος που περιγράφει τη δουλειά αυτού του πράκτορα.
"Only plugins, controllers and actions which support agent scope will be shown.","Θα εμφανιστούν μόνο τα πρόσθετα, οι ελεγκτές και οι ενέργειες που υποστηρίζουν το πεδίο πράκτορα."
Controller,Ελεγκτής
Action,Ενέργεια
Handler should be unique as it will identify agent job.,Ο χειριστής πρέπει να είναι μοναδικός καθώς θα ταυτοποιεί την εργασία του πράκτορα.
Job parameters,Παράμετροι εργασίας
This is a JSON string which will be decoded and passed as parameter to job execute method.,Αυτό είναι ένα JSON string το οποίο θα αποκωδικοποιηθεί και θα περάσει ως παράμετρος στη μέθοδο εκτέλεσης εργασίας.
Running interval,Διάστημα εκτέλεσης
Once how many seconds should this job run. Minimum interval depends on interval set for _agent.php script to run in crontab.,Πόσα δευτερόλεπτα πρέπει να τρέξει αυτή η δουλειά. Το ελάχιστο διάστημα εξαρτάται από το διάστημα που έχει οριστεί για το σενάριο _agent.php να τρέχει στο crontab.
Run asynchronous,Εκτέλεση ασύγχρονα
This agent job will stop agent from advancing to next job untill it is finished.,Αυτή η εργασία πράκτορα θα σταματήσει τον πράκτορα από το να προχωρήσει στην επόμενη εργασία μέχρι να ολοκληρωθεί.
Stalling minutes,Λεπτά στάσης
After how many minutes should this job be considered as stalling.,Μετά από πόσα λεπτά πρέπει να θεωρηθεί αυτή η εργασία ως σε κατάσταση αδράνειας.
minutes,λεπτά
Edit job,Επεξεργασία εργασίας
Add job,Προσθήκη εργασίας
Couldn't initialize view.,Αδυναμία αρχικοποίησης προβολής.
User account,Λογαριασμός χρήστη
All tenants,Όλοι οι ενοικιαστές
Short description for this API key,Σύντομη περιγραφή για αυτό το κλειδί API
Allowed HTTP methods,Επιτρεπόμενες μέθοδοι HTTP
Don't tick any method to allow all.,Μην επιλέξετε καμία μέθοδο για να επιτραπεί όλα.
Denied HTTP methods,Απορρίφθηκαν μέθοδοι HTTP
Tick only methods which you want to deny access to.,Επιλέξτε μόνο τις μεθόδους στις οποίες θέλετε να απαγορεύσετε την πρόσβαση.
Allow Simulating Web,Επιτρέπει την προσομοίωση του διαδικτύου
"If ticked, API key will be allowed to access actions which are normally available in web scope (by sending %s=1 in GET).","Εάν είναι επιλεγμένο, το κλειδί API θα επιτρέπεται να έχει πρόσβαση σε ενέργειες που συνήθως είναι διαθέσιμες στο πεδίο του web (με το να στέλνετε %s=1 στο GET)."
Allow GraphQL,Να επιτρέπεται το GraphQL
"If ticked, API key can be used when authenticating requests to GraphQL endpoint.","Εάν είναι επιλεγμένο, το κλειδί API μπορεί να χρησιμοποιηθεί κατά την αυθεντικοποίηση αιτημάτων προς το τέλος GraphQL."
Add API key,Προσθέστε το κλειδί API
Leave empty to autogenerate.,Αφήστε κενό για αυτόματη δημιουργία.
Role Units,Μονάδες Ρόλου
Manually added,Χειροκίνητη προσθήκη
"Slug should be unique. Once role is defined, you cannot change this slug.","Το Slug πρέπει να είναι μοναδικό. Μόλις οριστεί ο ρόλος, δεν μπορείτε να αλλάξετε αυτό το Slug."
Add role,Προσθήκη ρόλου
Welcome...,Καλώς ήρθατε...
You are in admin section of %s site.,Βρίσκεστε στη διαχειριστική ενότητα του ιστότοπου %s.
Currently logged in %s - %s.,Επί του παρόντος συνδεδεμένος %s - %s.
Select a plugin first.,Επιλέξτε πρώτα ένα πρόσθετο.
Select a model first.,Επιλέξτε πρώτα ένα μοντέλο.
Date field,Πεδίο ημερομηνίας
Select a table first.,Επιλέξτε πρώτα έναν πίνακα.
This field will be checked agains interval settings.,Αυτό το πεδίο θα ελεγχθεί ξανά έναντι των ρυθμίσεων διαστήματος.
Retention Action,Δράση Κράτησης
Retention Interval,Διάστημα Κράτησης
Interval length,Διάρκεια διαστήματος
Add Retention Policy,Προσθήκη Πολιτικής Διατήρησης
Plugin to check,Πρόσθετο για έλεγχο
 - All plugins - , - Όλα τα πρόσθετα - 
Integrity check,Έλεγχος ακεραιότητας
Checking plugin integrity...,Έλεγχος ακεραιότητας προσθέτου...
Checking integrity for plugin %s...,Έλεγχος ακεραιότητας για το πρόσθετο %s...
Checking integrity for ALL plugins...,Έλεγχος ακεραιότητας για ΟΛΑ τα πρόσθετα...
Didn't find a valid value in plugins list to check integrity.,Δεν βρέθηκε έγκυρη τιμή στη λίστα των προσθέτων για έλεγχο ακεραιότητας.
DONE,ΟΛΟΚΛΗΡΩΘΗΚΕ
Import User Accounts,Εισαγωγή Λογαριασμών Χρηστών
Import file,Εισαγωγή αρχείου
This should be a JSON file exported using Export options from accounts management page.,Αυτό πρέπει να είναι ένα αρχείο JSON που εξάγεται χρησιμοποιώντας τις επιλογές Εξαγωγή από τη σελίδα διαχείρισης λογαριασμών.
Current maximum upload file size %s.,Τρέχον μέγιστο μέγεθος αρχείου μεταφόρτωσης %s.
Import options,Επιλογές εισαγωγής
"Create non-existing accounts (if email is not found in database, create a new account)","Δημιουργία μη υπαρκτών λογαριασμών (εάν το email δεν βρεθεί στη βάση δεδομένων, δημιουργήστε έναν νέο λογαριασμό)"
Override account level from database with the level found in import file,Αντικατάσταση επιπέδου λογαριασμού από τη βάση δεδομένων με το επίπεδο που βρέθηκε στο αρχείο εισαγωγής
Update roles (if account is found). Append roles found in import file.,Ενημέρωση ρόλων (εάν βρεθεί λογαριασμός). Προσάρτηση ρόλων που βρέθηκαν στο αρχείο εισαγωγής.
Remove existing roles and use the ones found in import file,Αφαιρέστε τους υπάρχοντες ρόλους και χρησιμοποιήστε αυτούς που βρέθηκαν στο αρχείο εισαγωγής
Update user account details with data from import file,Ενημέρωση λεπτομερειών λογαριασμού χρήστη με δεδομένα από αρχείο εισαγωγής
Import only level,Εισαγωγή μόνο επιπέδου
Import only specific levels from import file.,Εισαγωγή μόνο συγκεκριμένων επιπέδων από το αρχείο εισαγωγής.
Import Accounts,Εισαγωγή Λογαριασμών
Account Details,Λεπτομέρειες Λογαριασμού
ID,Ταυτότητα
Last login,Τελευταία σύνδεση
from IP %s,από τη διεύθυνση IP %s
Selected language,Επιλεγμένη γλώσσα
Email verified,Το email επαληθεύτηκε
Password generated,Δημιουργήθηκε κωδικός πρόσβασης
Locked,Κλειδωμένο
Multi-tenancy,Πολυ-ενοικίαση
Multi-tenancy enabled,Ενεργοποιημένη πολυ-ενοικίαση
Multi-tenant account,Λογαριασμός πολλαπλών ενοικιαστών
Account tenants,Ενοικιαστές λογαριασμού
Unknown tenant,Άγνωστος ενοικιαστής
Edit User Account,Επεξεργασία Λογαριασμού Χρήστη
Roles,Ρόλοι
Change roles,Αλλαγή ρόλων
Change tenants,Αλλαγή ενοικιαστών
Complete password fields ony if you want to change password,Συμπληρώστε τα πεδία κωδικού μόνο εάν θέλετε να αλλάξετε τον κωδικό πρόσβασης
confirm,επιβεβαίωση
Account Roles,Ρόλοι λογαριασμού
No role assigned to this account.,Δεν έχει ανατεθεί ρόλος σε αυτόν τον λογαριασμό.
Account Tenants,Ενοικιαστές λογαριασμού
ALL TENANTS,ΟΛΟΙ ΕΝΟΙΚΙΑΣΤΕΣ
Add User Account,Προσθήκη Λογαριασμού Χρήστη
User will setup a password at first login.,Ο χρήστης θα ρυθμίσει έναν κωδικό πρόσβασης κατά την πρώτη σύνδεσή του.
"If password field is left empty, system will generate a password and will send it by email to the provided email.","Εάν το πεδίο κωδικού πρόσβασης αφεθεί κενό, το σύστημα θα δημιουργήσει έναν κωδικό πρόσβασης και θα τον στείλει με email στο παρεχόμενο email."
"If no roles are provided, roles will be set depending on selected level.","Εάν δεν παρέχονται ρόλοι, οι ρόλοι θα οριστούν ανάλογα με τον επιλεγμένο επίπεδο."
Create Account,Δημιουργία Λογαριασμού
Retries,Επαναδοκιμές
"Fails: %s, Max retries: %s","Αποτυγχάνει: %s, Μέγιστες επαναλήψεις: %s"
Final,Τελικό
Run after,Εκτέλεση μετά
Id,Αναγνωριστικό
There are no requests for this HTTP call yet.,Δεν υπάρχουν αιτήσεις για αυτήν την κλήση HTTP ακόμα.
View request error,Σφάλμα προβολής αιτήματος
View response body,Προβολή σώματος απάντησης
There are %s requests for current HTTP call.,Υπάρχουν %s αιτήσεις για την τρέχουσα κλήση HTTP.
Response Body,Σώμα Απάντησης
Request Error,Σφάλμα Αίτησης
Log file not provided or invalid.,Το αρχείο καταγραφής (log) δεν παρέχεται ή είναι μη έγκυρο.
File name,Όνομα αρχείου
File size,Μέγεθος αρχείου
Download file,Λήψη αρχείου
Displaying last %s lines from %s file.,Εμφάνιση των τελευταίων %s γραμμών από το αρχείο %s.
Log file returned empty buffer.,Το αρχείο καταγραφής επέστρεψε κενό buffer.
Platform Tenants,Ενοικιαστές Πλατφόρμας
List Tenants,Λίστα Ενοικιαστών
Accounts Management,Διαχείριση Λογαριασμών
Add Account,Προσθήκη Λογαριασμού
Manage Accounts,Διαχείριση Λογαριασμών
Roles Management,Διαχείριση Ρόλων
Manage Roles,Διαχείριση Ρόλων
Plugins Management,Διαχείριση Προσθέτων
List Plugins,Λίστα Προσθέτων
Tenant Plugin Management,Διαχείριση Προσθέτου Ενοικιαστή
Plugins Migrations,Μεταφορές Προσθηκών
List Migrations,Λίστα Μετακινήσεων
List Agent Jobs,Λίστα Εργασιών Πράκτορα
API Settings,Ρυθμίσεις API
List API Keys,Λίστα κλειδιών API
API Monitoring Report,Αναφορά Παρακολούθησης API
List HTTP Calls,Λίστα κλήσεων HTTP
View Logs,Προβολή Καταγραφών
Data Retention,Διατήρηση Δεδομένων
List Data Retention Policies,Κατάλογος Πολιτικών Διατήρησης Δεδομένων
Update PHS Structure,Ενημέρωση Δομής PHS
